id f z x
0 -20507.162020 "-0.999635,1.000000,1.000000,1.000000,-0.999943,-1.000000,-1.000000,-0.999521,-1.000000,-1.000000" 0011000111011010000010100100100011010001111011011110010000010101111010010001010000010011110110010010
1 -30117.982219 "1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-0.981244,-1.000000" 1000000001011011110110010101011100011110011100001011001010100100001001000001111000111010101101111010
2 -33185.309787 "0.885814,1.000000,1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000" 1111001010111100011101010110010100010110001010010101100101100000011001001110001110101001110001101110
3 -42981.308951 "1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,-1.000000,-1.000000,-1.000000,1.000000" 1110111111000010111111110100100010101100001011011000111011010001100001100010101011101010101101001011
4 -32112.702442 "-0.951179,0.987043,0.882722,0.987495,-0.998074,-1.000000,-0.993924,-1.000000,-0.998413,0.997033,0.999837,0.999592,-0.860885,0.997554,0.950411,0.995041,1.000000,0.300531,-0.999834,1.000000" 0100100101001001110100011110111111000010111010010000111001101010001010000100100111101001100011011101
5 -44458.702623 "0.992835,0.839935,1.000000,0.958764,1.000000,0.331537,0.999469,-1.000000,1.000000,-0.406702,0.999617,-1.000000,-0.327988,1.000000,0.708364,-0.999934,-0.893739,0.998865,0.087633,0.998251" 0000111111100110011110110111101100110111001000111000011000100110101011110000010111000001001011011100
6 -43776.564275 "1.000000,0.810843,0.997859,0.998429,0.793401,-0.991987,-0.421647,-0.956368,-0.768209,0.255577,1.000000,0.150640,-0.998943,1.000000,0.439066,1.000000,-0.999992,-0.703988,-0.997619,-0.999949" 0011110100010010110101110111110110101001011110110000100001100001010110100101111001011101001111001001
7 -63335.360408 "0.940302,1.000000,0.997902,0.997799,0.529349,-1.000000,-0.966471,-1.000000,-1.000000,-0.130184,-0.989848,-0.486042,-0.865820,-0.973544,-0.993288,0.999390,1.000000,1.000000,-0.909075,0.999877" 0110010001001111101100001001001100110111001010001010101000111101100001111110100110001110011000001001
8 -44085.619356 "1.000000,1.000000,1.000000,0.999857,-1.000000,-0.999101,-0.999117,-0.982528,0.999775,0.999848" 11100001101111111110100001111001011000011110100010011010100000101011001010100110011100100101110100111110111111001011110100001111110001000110001100001101001000101110011001101001101001100000100101001001
9 -54118.550515 "0.999658,0.999700,1.000000,1.000000,0.974327,-0.999931,-1.000000,-1.000000,-1.000000,-0.048859" 11001010110110100000111001101101110111110101000100001011110010100001100000000010101011100100001001111110011000000110111110010110001100001010001111111100111101011011001000011011100000100011010100011011
10 -58035.665194 "0.999574,0.998235,0.988034,1.000000,-0.949616,-1.000000,0.903317,-1.000000,-0.989822,-1.000000" 11100101000001111100110110110000101011110001000110001010101110101100001101110101100011101001001100111100110001011110011010011010001010110000010110011010000000110110011110001110000100110001010111001011
11 -92343.075220 "-0.772920,1.000000,0.997601,0.992585,-0.999117,-0.996432,1.000000,-0.999008,-0.999804,0.985395" 11001010110010100000010101011001111111011111100010001100111010101110001100110111100110111011101001111111111000111001011100010101100000001111010111010011101000001100110010010100011011100100001101110111
12 -57922.655591 "0.995082,0.998996,0.912660,1.000000,0.999435,-0.999926,-0.136303,-0.987158,-0.870843,-0.982732,1.000000,0.489133,-0.070217,0.649193,-0.645709,1.000000,0.969813,1.000000,-1.000000,-0.957141" 10000011011111100001111000001010000101010110110110001001010000110001111111001101011010110101010010010111011000010101100001111101011101111001111110011001001001000110011000001000010111010000010110010010
13 -83759.160531 "1.000000,1.000000,0.988078,1.000000,-0.997453,-0.934370,0.152009,-0.996293,-0.999263,-0.948658,1.000000,-0.991160,-1.000000,1.000000,-0.998637,1.000000,-0.966677,1.000000,-1.000000,1.000000" 11010001111010111000011001110011001001111000011110011001100001001100010110011111011100100110000011110001101100011110100010111110100001100101100001111110110000011101010010111000011111010000101000110101
14 -87036.051059 "1.000000,0.982916,0.997776,1.000000,-0.964758,0.897222,-0.882108,-0.999080,-0.419182,0.125583,0.935651,-0.999712,0.560937,0.999504,-1.000000,1.000000,-0.905594,-0.129845,-0.999015,0.998546" 01111000110010001110000100111001000011101011111111111011001101001100001011000011111000000001110110101100101001100100111001100110110000011101111100110011000110001101110101010011010001010010110011111111
15 -116943.241027 "-0.496187,0.985928,0.567866,0.915989,0.997514,-1.000000,-1.000000,-1.000000,-0.793594,0.043426,0.999402,-0.999997,-1.000000,-0.247712,-0.999301,1.000000,0.995520,0.912168,-1.000000,0.974046" 01001101110100000101101100100011000100111000100101000100110110001111111100010100001001110101100010001001100010101100000111111000111101000110011001011101000000101001110101100010001010010001110111010011
