algorithme,instance,run,f
hill_climbing,0,0,-12661.517913
hill_climbing,0,1,-12641.04282
hill_climbing,0,2,-12326.120973
hill_climbing,0,3,-12551.963776
hill_climbing,0,4,-11983.506524
hill_climbing,0,5,-12670.453221
hill_climbing,0,6,-12292.02681
hill_climbing,0,7,-11597.337033
hill_climbing,0,8,-12395.629537
hill_climbing,0,9,-12699.541368
hill_climbing,0,10,-10750.840778
hill_climbing,0,11,-11275.51667
hill_climbing,0,12,-11881.707242
hill_climbing,0,13,-12669.879012
hill_climbing,0,14,-11253.986371
hill_climbing,0,15,-11699.971314
hill_climbing,0,16,-12219.997269
hill_climbing,0,17,-12196.049775
hill_climbing,0,18,-11919.438015
hill_climbing,0,19,-11936.230541
hill_climbing,0,20,-12076.039721
hill_climbing,0,21,-12099.89562
hill_climbing,0,22,-12828.561797
hill_climbing,0,23,-12762.502553
hill_climbing,0,24,-12198.613262
hill_climbing,0,25,-11969.05035
hill_climbing,0,26,-12503.350147
hill_climbing,0,27,-12069.836715
hill_climbing,0,28,-11618.367164
hill_climbing,0,29,-12385.612068
hill_climbing,1,0,-17606.514673
hill_climbing,1,1,-16934.986104
hill_climbing,1,2,-16143.985649
hill_climbing,1,3,-16640.921239
hill_climbing,1,4,-16404.780136
hill_climbing,1,5,-17420.033827
hill_climbing,1,6,-16517.413921
hill_climbing,1,7,-16079.385415
hill_climbing,1,8,-16543.920903
hill_climbing,1,9,-16662.505315
hill_climbing,1,10,-16388.536906
hill_climbing,1,11,-16785.535427
hill_climbing,1,12,-17081.349903
hill_climbing,1,13,-15896.183947
hill_climbing,1,14,-16101.27826
hill_climbing,1,15,-16244.810698
hill_climbing,1,16,-16191.562886
hill_climbing,1,17,-16787.740118
hill_climbing,1,18,-17057.188897
hill_climbing,1,19,-15668.206713
hill_climbing,1,20,-16378.263211
hill_climbing,1,21,-16031.289783
hill_climbing,1,22,-16278.621804
hill_climbing,1,23,-16466.012394
hill_climbing,1,24,-16962.639556
hill_climbing,1,25,-16472.681111
hill_climbing,1,26,-16474.814268
hill_climbing,1,27,-16768.14269
hill_climbing,1,28,-15811.617645
hill_climbing,1,29,-16916.807214
hill_climbing,2,0,-17373.421002
hill_climbing,2,1,-15790.379421
hill_climbing,2,2,-16810.978106
hill_climbing,2,3,-17345.380001
hill_climbing,2,4,-17393.946162
hill_climbing,2,5,-16918.792377
hill_climbing,2,6,-17511.59336
hill_climbing,2,7,-16728.21557
hill_climbing,2,8,-16885.694395
hill_climbing,2,9,-16891.799558
hill_climbing,2,10,-17890.94867
hill_climbing,2,11,-16866.542163
hill_climbing,2,12,-17395.902561
hill_climbing,2,13,-18092.057281
hill_climbing,2,14,-17453.084439
hill_climbing,2,15,-17296.291547
hill_climbing,2,16,-16358.884558
hill_climbing,2,17,-16466.142624
hill_climbing,2,18,-17609.709552
hill_climbing,2,19,-17459.158935
hill_climbing,2,20,-17664.508388
hill_climbing,2,21,-17882.563258
hill_climbing,2,22,-17288.159806
hill_climbing,2,23,-17577.869066
hill_climbing,2,24,-17468.761439
hill_climbing,2,25,-16685.894674
hill_climbing,2,26,-17331.116479
hill_climbing,2,27,-16370.782018
hill_climbing,2,28,-17694.777712
hill_climbing,2,29,-17694.414454
hill_climbing,3,0,-24361.336974
hill_climbing,3,1,-22507.143313
hill_climbing,3,2,-22295.779362
hill_climbing,3,3,-20989.85676
hill_climbing,3,4,-21937.864373
hill_climbing,3,5,-23451.581329
hill_climbing,3,6,-21748.47319
hill_climbing,3,7,-22272.379321
hill_climbing,3,8,-23805.903796
hill_climbing,3,9,-22124.381574
hill_climbing,3,10,-21848.728795
hill_climbing,3,11,-21685.801383
hill_climbing,3,12,-21035.509274
hill_climbing,3,13,-22762.659269
hill_climbing,3,14,-21592.692338
hill_climbing,3,15,-23279.819887
hill_climbing,3,16,-21428.448055
hill_climbing,3,17,-21637.273057
hill_climbing,3,18,-22293.411244
hill_climbing,3,19,-23688.622558
hill_climbing,3,20,-22537.236797
hill_climbing,3,21,-22979.580444
hill_climbing,3,22,-22494.254267
hill_climbing,3,23,-21036.038206
hill_climbing,3,24,-22601.389892
hill_climbing,3,25,-21754.063064
hill_climbing,3,26,-22202.733075
hill_climbing,3,27,-22558.635773
hill_climbing,3,28,-22374.151772
hill_climbing,3,29,-22870.496724
hill_climbing,4,0,-14999.164459
hill_climbing,4,1,-14741.192319
hill_climbing,4,2,-14589.589814
hill_climbing,4,3,-14535.64912
hill_climbing,4,4,-14387.144177
hill_climbing,4,5,-15665.265941
hill_climbing,4,6,-15428.590967
hill_climbing,4,7,-16022.18181
hill_climbing,4,8,-13916.347687
hill_climbing,4,9,-14662.695983
hill_climbing,4,10,-14373.629047
hill_climbing,4,11,-15152.856972
hill_climbing,4,12,-15632.663614
hill_climbing,4,13,-14714.226591
hill_climbing,4,14,-16365.549884
hill_climbing,4,15,-15231.08147
hill_climbing,4,16,-14401.006172
hill_climbing,4,17,-14495.533441
hill_climbing,4,18,-15712.472965
hill_climbing,4,19,-14839.703364
hill_climbing,4,20,-16006.374135
hill_climbing,4,21,-13902.677484
hill_climbing,4,22,-14930.625154
hill_climbing,4,23,-14541.387152
hill_climbing,4,24,-14807.446606
hill_climbing,4,25,-14713.739896
hill_climbing,4,26,-15941.666203
hill_climbing,4,27,-15606.617182
hill_climbing,4,28,-14586.446992
hill_climbing,4,29,-13790.104205
hill_climbing,5,0,-21294.497072
hill_climbing,5,1,-20340.023775
hill_climbing,5,2,-22160.841659
hill_climbing,5,3,-21381.776511
hill_climbing,5,4,-21945.244823
hill_climbing,5,5,-23220.897681
hill_climbing,5,6,-19973.155662
hill_climbing,5,7,-21473.863961
hill_climbing,5,8,-21753.067122
hill_climbing,5,9,-21952.26647
hill_climbing,5,10,-21542.534214
hill_climbing,5,11,-21946.111168
hill_climbing,5,12,-21995.195642
hill_climbing,5,13,-21086.004018
hill_climbing,5,14,-21642.397895
hill_climbing,5,15,-19685.232769
hill_climbing,5,16,-20780.372686
hill_climbing,5,17,-21383.258961
hill_climbing,5,18,-20319.921691
hill_climbing,5,19,-20410.801678
hill_climbing,5,20,-20922.162797
hill_climbing,5,21,-21467.420358
hill_climbing,5,22,-21107.536736
hill_climbing,5,23,-21362.694769
hill_climbing,5,24,-19502.657173
hill_climbing,5,25,-21302.940446
hill_climbing,5,26,-21125.524574
hill_climbing,5,27,-20438.377164
hill_climbing,5,28,-21065.871212
hill_climbing,5,29,-21103.50144
hill_climbing,6,0,-23103.870452
hill_climbing,6,1,-23754.130431
hill_climbing,6,2,-20245.297181
hill_climbing,6,3,-23007.830225
hill_climbing,6,4,-24965.617092
hill_climbing,6,5,-23086.595545
hill_climbing,6,6,-22632.745481
hill_climbing,6,7,-21794.635007
hill_climbing,6,8,-22088.722534
hill_climbing,6,9,-24476.292187
hill_climbing,6,10,-24059.400596
hill_climbing,6,11,-23794.528317
hill_climbing,6,12,-22575.329236
hill_climbing,6,13,-23565.148234
hill_climbing,6,14,-24497.158357
hill_climbing,6,15,-22716.387863
hill_climbing,6,16,-24087.165106
hill_climbing,6,17,-24714.593797
hill_climbing,6,18,-20742.911507
hill_climbing,6,19,-21967.864379
hill_climbing,6,20,-22932.022649
hill_climbing,6,21,-22830.959859
hill_climbing,6,22,-22330.069998
hill_climbing,6,23,-21747.173531
hill_climbing,6,24,-22129.408578
hill_climbing,6,25,-20719.187307
hill_climbing,6,26,-22109.968856
hill_climbing,6,27,-22558.815816
hill_climbing,6,28,-23144.392365
hill_climbing,6,29,-21810.02016
hill_climbing,7,0,-33337.518639
hill_climbing,7,1,-33392.818154
hill_climbing,7,2,-33486.914139
hill_climbing,7,3,-32038.489382
hill_climbing,7,4,-32282.963125
hill_climbing,7,5,-32493.679443
hill_climbing,7,6,-32569.20913
hill_climbing,7,7,-32999.088987
hill_climbing,7,8,-31701.637982
hill_climbing,7,9,-33691.358048
hill_climbing,7,10,-33700.671012
hill_climbing,7,11,-34478.442595
hill_climbing,7,12,-31517.00375
hill_climbing,7,13,-33641.709068
hill_climbing,7,14,-33140.861611
hill_climbing,7,15,-30913.835806
hill_climbing,7,16,-32351.83722
hill_climbing,7,17,-32937.37754
hill_climbing,7,18,-33009.596234
