algorithme,instance,run,f
hill_climbing_cont,0,0,-5729.358452
hill_climbing_cont,0,1,-5448.329651
hill_climbing_cont,0,2,-5448.304394
hill_climbing_cont,0,3,-5729.266758
hill_climbing_cont,0,4,-5448.299419
hill_climbing_cont,0,5,-5729.336094
hill_climbing_cont,0,6,-5729.327005
hill_climbing_cont,0,7,-5448.308838
hill_climbing_cont,0,8,-5729.339856
hill_climbing_cont,0,9,-5729.342002
hill_climbing_cont,0,10,-5448.297966
hill_climbing_cont,0,11,-5237.28886
hill_climbing_cont,0,12,-5729.325631
hill_climbing_cont,0,13,-5729.189632
hill_climbing_cont,0,14,-5448.295919
hill_climbing_cont,0,15,-5025.258356
hill_climbing_cont,0,16,-5729.355202
hill_climbing_cont,0,17,-5448.330911
hill_climbing_cont,0,18,-5448.285235
hill_climbing_cont,0,19,-5729.323855
hill_climbing_cont,0,20,-5448.303182
hill_climbing_cont,0,21,-5448.333679
hill_climbing_cont,0,22,-5729.31549
hill_climbing_cont,0,23,-5729.355105
hill_climbing_cont,0,24,-5237.511664
hill_climbing_cont,0,25,-4140.339919
hill_climbing_cont,0,26,-5729.334253
hill_climbing_cont,0,27,-5237.599285
hill_climbing_cont,0,28,-5729.347393
hill_climbing_cont,0,29,-5729.348945
hill_climbing_cont,1,0,-8695.182682
hill_climbing_cont,1,1,-6216.327682
hill_climbing_cont,1,2,-8695.171557
hill_climbing_cont,1,3,-8695.143348
hill_climbing_cont,1,4,-8956.82129
hill_climbing_cont,1,5,-8956.802912
hill_climbing_cont,1,6,-8956.846733
hill_climbing_cont,1,7,-6693.957347
hill_climbing_cont,1,8,-6693.956444
hill_climbing_cont,1,9,-8694.966009
hill_climbing_cont,1,10,-8695.071241
hill_climbing_cont,1,11,-8956.786681
hill_climbing_cont,1,12,-8695.182283
hill_climbing_cont,1,13,-8695.198455
hill_climbing_cont,1,14,-8956.88586
hill_climbing_cont,1,15,-8956.867318
hill_climbing_cont,1,16,-8956.863844
hill_climbing_cont,1,17,-8695.167038
hill_climbing_cont,1,18,-5630.685129
hill_climbing_cont,1,19,-8956.862494
hill_climbing_cont,1,20,-8695.183069
hill_climbing_cont,1,21,-6693.930548
hill_climbing_cont,1,22,-8695.028008
hill_climbing_cont,1,23,-8956.791599
hill_climbing_cont,1,24,-8695.162302
hill_climbing_cont,1,25,-8695.135315
hill_climbing_cont,1,26,-8695.178864
hill_climbing_cont,1,27,-8956.858849
hill_climbing_cont,1,28,-8956.864333
hill_climbing_cont,1,29,-5158.709867
hill_climbing_cont,2,0,-8832.498646
hill_climbing_cont,2,1,-8152.172603
hill_climbing_cont,2,2,-8832.671865
hill_climbing_cont,2,3,-8832.584298
hill_climbing_cont,2,4,-8832.706267
hill_climbing_cont,2,5,-8832.714098
hill_climbing_cont,2,6,-8832.3854
hill_climbing_cont,2,7,-8832.688571
hill_climbing_cont,2,8,-8832.463563
hill_climbing_cont,2,9,-5866.695688
hill_climbing_cont,2,10,-8832.443523
hill_climbing_cont,2,11,-8152.161217
hill_climbing_cont,2,12,-8152.075329
hill_climbing_cont,2,13,-8152.175017
hill_climbing_cont,2,14,-8832.696233
hill_climbing_cont,2,15,-8152.191768
hill_climbing_cont,2,16,-8832.641528
hill_climbing_cont,2,17,-8152.190629
hill_climbing_cont,2,18,-8152.014572
hill_climbing_cont,2,19,-8832.685899
hill_climbing_cont,2,20,-8152.11281
hill_climbing_cont,2,21,-8832.709643
hill_climbing_cont,2,22,-8832.743741
hill_climbing_cont,2,23,-8832.564031
hill_climbing_cont,2,24,-8832.742093
hill_climbing_cont,2,25,-8152.101404
hill_climbing_cont,2,26,-8832.729487
hill_climbing_cont,2,27,-8832.614179
hill_climbing_cont,2,28,-6895.787295
hill_climbing_cont,2,29,-8832.711661
hill_climbing_cont,3,0,-16985.067628
hill_climbing_cont,3,1,-14813.133497
hill_climbing_cont,3,2,-14813.05405
hill_climbing_cont,3,3,-16984.957962
hill_climbing_cont,3,4,-16984.915475
hill_climbing_cont,3,5,-13939.17011
hill_climbing_cont,3,6,-16984.967017
hill_climbing_cont,3,7,-13939.116344
hill_climbing_cont,3,8,-16985.044652
hill_climbing_cont,3,9,-16984.959418
hill_climbing_cont,3,10,-14813.178188
hill_climbing_cont,3,11,-16984.94059
hill_climbing_cont,3,12,-13939.116493
hill_climbing_cont,3,13,-12539.046144
hill_climbing_cont,3,14,-14813.060021
hill_climbing_cont,3,15,-14813.155524
hill_climbing_cont,3,16,-16985.004096
hill_climbing_cont,3,17,-14813.067436
hill_climbing_cont,3,18,-16984.850368
hill_climbing_cont,3,19,-16985.048876
hill_climbing_cont,3,20,-13939.228856
hill_climbing_cont,3,21,-16985.025118
hill_climbing_cont,3,22,-16984.122591
hill_climbing_cont,3,23,-13939.144001
hill_climbing_cont,3,24,-13939.062159
hill_climbing_cont,3,25,-13939.255026
hill_climbing_cont,3,26,-12538.994646
hill_climbing_cont,3,27,-9288.956511
hill_climbing_cont,3,28,-16984.992161
hill_climbing_cont,3,29,-14813.158758
hill_climbing_cont,4,0,-7309.052437
hill_climbing_cont,4,1,-11088.993305
hill_climbing_cont,4,2,-14288.580575
hill_climbing_cont,4,3,-14288.570454
hill_climbing_cont,4,4,-11368.192772
hill_climbing_cont,4,5,-11936.938498
hill_climbing_cont,4,6,-11088.99336
hill_climbing_cont,4,7,-14081.909051
hill_climbing_cont,4,8,-14081.905256
hill_climbing_cont,4,9,-10865.944692
hill_climbing_cont,4,10,-14564.431586
hill_climbing_cont,4,11,-11441.859144
hill_climbing_cont,4,12,-10733.024193
hill_climbing_cont,4,13,-14288.530576
hill_climbing_cont,4,14,-11464.332171
hill_climbing_cont,4,15,-11464.319065
hill_climbing_cont,4,16,-14081.900159
hill_climbing_cont,4,17,-14288.534472
hill_climbing_cont,4,18,-14230.807676
hill_climbing_cont,4,19,-10865.99466
hill_climbing_cont,4,20,-14288.542006
hill_climbing_cont,4,21,-8974.055807
hill_climbing_cont,4,22,-14081.914624
hill_climbing_cont,4,23,-14564.427693
hill_climbing_cont,4,24,-14288.557922
hill_climbing_cont,4,25,-14288.528418
hill_climbing_cont,4,26,-8974.074936
hill_climbing_cont,4,27,-8974.07087
hill_climbing_cont,4,28,-10865.99476
hill_climbing_cont,4,29,-11936.952297
hill_climbing_cont,5,0,-21691.461355
hill_climbing_cont,5,1,-21691.332001
hill_climbing_cont,5,2,-18850.43421
hill_climbing_cont,5,3,-19786.284674
hill_climbing_cont,5,4,-21691.378973
hill_climbing_cont,5,5,-19198.264124
hill_climbing_cont,5,6,-16654.438126
hill_climbing_cont,5,7,-18809.015193
hill_climbing_cont,5,8,-21691.429982
hill_climbing_cont,5,9,-20726.781116
hill_climbing_cont,5,10,-18906.554894
hill_climbing_cont,5,11,-21691.239733
hill_climbing_cont,5,12,-18907.706587
hill_climbing_cont,5,13,-14081.11431
hill_climbing_cont,5,14,-16095.828424
hill_climbing_cont,5,15,-18110.136896
hill_climbing_cont,5,16,-19197.640873
hill_climbing_cont,5,17,-21691.119757
hill_climbing_cont,5,18,-18110.220836
hill_climbing_cont,5,19,-20934.698893
hill_climbing_cont,5,20,-16746.855231
hill_climbing_cont,5,21,-13023.962975
hill_climbing_cont,5,22,-20726.557397
hill_climbing_cont,5,23,-21690.929093
hill_climbing_cont,5,24,-21691.342096
hill_climbing_cont,5,25,-12781.662236
hill_climbing_cont,5,26,-21691.036766
hill_climbing_cont,5,27,-20726.622336
hill_climbing_cont,5,28,-18809.203304
hill_climbing_cont,5,29,-21194.303776
hill_climbing_cont,6,0,-18772.88353
hill_climbing_cont,6,1,-21726.090732
hill_climbing_cont,6,2,-15988.642811
hill_climbing_cont,6,3,-20354.220219
hill_climbing_cont,6,4,-21726.197756
hill_climbing_cont,6,5,-16681.008777
hill_climbing_cont,6,6,-21724.610343
hill_climbing_cont,6,7,-21726.307858
hill_climbing_cont,6,8,-19737.856191
hill_climbing_cont,6,9,-16904.870859
hill_climbing_cont,6,10,-21716.808282
hill_climbing_cont,6,11,-16482.464865
hill_climbing_cont,6,12,-21725.818293
hill_climbing_cont,6,13,-19737.87258
hill_climbing_cont,6,14,-13622.35026
hill_climbing_cont,6,15,-14371.91528
hill_climbing_cont,6,16,-16482.967724
hill_climbing_cont,6,17,-14931.640807
hill_climbing_cont,6,18,-21725.934747
hill_climbing_cont,6,19,-21726.368298
hill_climbing_cont,6,20,-16399.169989
hill_climbing_cont,6,21,-20354.204395
hill_climbing_cont,6,22,-19738.41148
hill_climbing_cont,6,23,-21106.367668
hill_climbing_cont,6,24,-21106.685514
hill_climbing_cont,6,25,-21726.265597
hill_climbing_cont,6,26,-21726.463942
hill_climbing_cont,6,27,-20393.660331
hill_climbing_cont,6,28,-17792.834776
hill_climbing_cont,6,29,-17956.926956
hill_climbing_cont,7,0,-19413.887483
hill_climbing_cont,7,1,-27467.127888
hill_climbing_cont,7,2,-20465.193068
hill_climbing_cont,7,3,-25348.076362
hill_climbing_cont,7,4,-33417.92945
hill_climbing_cont,7,5,-30738.564994
hill_climbing_cont,7,6,-25082.413403
