algorithme,instance,run,f
hill_climbing_mixed,0,0,-19707.504956
hill_climbing_mixed,0,1,-16879.884566
hill_climbing_mixed,0,2,-18045.324848
hill_climbing_mixed,0,3,-18511.050132
hill_climbing_mixed,0,4,-18618.292655
hill_climbing_mixed,0,5,-16531.785313
hill_climbing_mixed,0,6,-17729.595944
hill_climbing_mixed,0,7,-16712.534643
hill_climbing_mixed,0,8,-16977.297963
hill_climbing_mixed,0,9,-12348.778641
hill_climbing_mixed,0,10,-16371.948841
hill_climbing_mixed,0,11,-19676.326182
hill_climbing_mixed,0,12,-15443.785671
hill_climbing_mixed,0,13,-18822.246124
hill_climbing_mixed,0,14,-16030.226968
hill_climbing_mixed,0,15,-16726.088255
hill_climbing_mixed,0,16,-18583.383714
hill_climbing_mixed,0,17,-16475.369732
hill_climbing_mixed,0,18,-15721.372916
hill_climbing_mixed,0,19,-19013.257091
hill_climbing_mixed,0,20,-18899.459074
hill_climbing_mixed,0,21,-14993.080195
hill_climbing_mixed,0,22,-19891.443234
hill_climbing_mixed,0,23,-15034.730422
hill_climbing_mixed,0,24,-17054.122818
hill_climbing_mixed,0,25,-19163.659079
hill_climbing_mixed,0,26,-16850.825789
hill_climbing_mixed,0,27,-16772.801102
hill_climbing_mixed,0,28,-16953.141062
hill_climbing_mixed,0,29,-16376.893855
hill_climbing_mixed,1,0,-22241.162109
hill_climbing_mixed,1,1,-22149.659223
hill_climbing_mixed,1,2,-24347.025393
hill_climbing_mixed,1,3,-19935.512532
hill_climbing_mixed,1,4,-20423.90169
hill_climbing_mixed,1,5,-26030.583935
hill_climbing_mixed,1,6,-23010.54397
hill_climbing_mixed,1,7,-24443.243236
hill_climbing_mixed,1,8,-24003.331879
hill_climbing_mixed,1,9,-24187.875671
hill_climbing_mixed,1,10,-23283.710251
hill_climbing_mixed,1,11,-24140.800973
hill_climbing_mixed,1,12,-21518.930804
hill_climbing_mixed,1,13,-20865.192015
hill_climbing_mixed,1,14,-23034.936397
hill_climbing_mixed,1,15,-23571.026481
hill_climbing_mixed,1,16,-19140.739781
hill_climbing_mixed,1,17,-24016.756039
hill_climbing_mixed,1,18,-20619.753689
hill_climbing_mixed,1,19,-25213.342153
hill_climbing_mixed,1,20,-23483.495085
hill_climbing_mixed,1,21,-22946.252722
hill_climbing_mixed,1,22,-23727.319864
hill_climbing_mixed,1,23,-22700.700912
hill_climbing_mixed,1,24,-20834.861499
hill_climbing_mixed,1,25,-21118.600282
hill_climbing_mixed,1,26,-22076.062231
hill_climbing_mixed,1,27,-21613.168289
hill_climbing_mixed,1,28,-20563.183088
hill_climbing_mixed,1,29,-23610.976258
hill_climbing_mixed,2,0,-23671.197851
hill_climbing_mixed,2,1,-23594.977405
hill_climbing_mixed,2,2,-20109.090789
hill_climbing_mixed,2,3,-23334.343368
hill_climbing_mixed,2,4,-22787.300383
hill_climbing_mixed,2,5,-24231.265999
hill_climbing_mixed,2,6,-22407.26557
hill_climbing_mixed,2,7,-25047.03562
hill_climbing_mixed,2,8,-21243.733492
hill_climbing_mixed,2,9,-23588.93182
hill_climbing_mixed,2,10,-24593.319922
hill_climbing_mixed,2,11,-21367.493346
hill_climbing_mixed,2,12,-22929.912228
hill_climbing_mixed,2,13,-24167.216575
hill_climbing_mixed,2,14,-22385.100361
hill_climbing_mixed,2,15,-23428.903052
