algorithme,instance,min,max,moyenne,ecart_type,mediane
hill_climbing,0,-12230.046728,-8967.595775,-10371.428236,878.14821,-10396.619154
hill_climbing,1,-16493.530985,-13693.627937,-15314.889805,759.599406,-15489.319598
hill_climbing,2,-17285.732911,-13044.02688,-15744.367644,1045.735016,-15974.117685
hill_climbing,3,-23916.19675,-18769.025752,-21173.876263,1150.323267,-21289.911873
hill_climbing,4,-15788.782966,-11650.413374,-13623.785283,850.142047,-13708.622799
hill_climbing,5,-22278.566223,-16892.650094,-20105.621032,1339.118133,-20299.401254
hill_climbing,6,-22827.472518,-18776.646855,-20668.81166,963.743615,-20624.992428
hill_climbing,7,-33926.20099,-26474.440084,-30213.75329,1878.827444,-30439.569869
hill_climbing,8,-23096.885595,-19023.113546,-21402.92005,977.632106,-21551.999198
hill_climbing,9,-31354.375266,-26788.225834,-28938.582384,1181.51675,-28886.931427
hill_climbing,10,-33559.955587,-26695.488482,-30781.233083,1631.877504,-30725.947743
hill_climbing,11,-45961.454775,-39009.982491,-42456.834021,1838.094395,-42176.739015
hill_climbing,12,-31042.928856,-26188.675249,-28332.367015,1201.979915,-28156.45475
hill_climbing,13,-42579.935029,-33794.358267,-38224.984388,2081.580099,-37958.850707
hill_climbing,14,-47550.035681,-38559.393481,-42481.640812,2055.647433,-42531.810114
hill_climbing,15,-59275.747785,-47926.844474,-54011.268975,2969.168315,-54203.162362
random_search,0,-6482.933443,-4389.985484,-5076.775665,409.207072,-4991.538335
random_search,1,-8397.310766,-6345.562641,-7097.707085,481.844585,-7123.550438
random_search,2,-7786.413677,-5714.569624,-6473.80436,466.587832,-6448.176129
random_search,3,-10908.739581,-7296.788458,-8938.911173,885.572622,-8971.89796
random_search,4,-7814.16693,-5474.931695,-6178.166737,532.102055,-6044.699256
random_search,5,-11176.908879,-7131.161359,-9148.278879,1006.114198,-9252.10411
random_search,6,-9703.040576,-7131.67324,-8288.448906,633.539811,-8374.329928
random_search,7,-15495.751136,-9178.402083,-11806.61238,1337.397431,-11663.722899
random_search,8,-7911.032015,-5677.425672,-6787.829653,528.718358,-6771.87705
random_search,9,-11300.006569,-7481.705815,-8989.536922,857.432628,-8869.807963
random_search,10,-11566.626239,-7686.424418,-8793.141865,848.01283,-8542.413607
random_search,11,-14919.471224,-9699.755642,-11790.091957,1293.93448,-11805.111439
random_search,12,-11446.705341,-7189.35718,-8700.047511,946.755336,-8499.739929
random_search,13,-15230.594759,-9544.553515,-11808.615503,1519.503238,-11901.818827
random_search,14,-15873.130302,-10509.962843,-11947.948525,1158.802087,-11857.835984
random_search,15,-19760.139403,-13813.544945,-15863.085749,1624.295162,-15475.304335
simulated_annealing,0,-12930.537791,-11274.35416,-12428.839708,477.162931,-12581.751993
simulated_annealing,1,-17531.163392,-15557.063813,-16605.121175,494.460381,-16544.466892
simulated_annealing,2,-18191.2491,-16047.090789,-17391.998935,588.330277,-17483.029869
simulated_annealing,3,-24456.101041,-20949.291904,-22605.613173,919.100634,-22558.462135
simulated_annealing,4,-16506.198494,-14165.853721,-15304.232753,672.690257,-15178.58546
simulated_annealing,5,-22738.879486,-19649.900772,-21432.532507,784.006823,-21480.58721
simulated_annealing,6,-24639.729294,-20123.302506,-22312.750637,1130.205495,-22353.682158
simulated_annealing,7,-33874.100329,-28186.376118,-31690.121181,1492.968931,-32020.797681
simulated_annealing,8,-24368.808896,-21597.127671,-23215.590307,864.273124,-23389.261153
simulated_annealing,9,-33095.006077,-27983.82195,-30644.529531,1127.326803,-30469.48793
simulated_annealing,10,-35337.019761,-29377.067684,-32296.277381,1447.789669,-32322.506891
simulated_annealing,11,-45730.889113,-38181.919659,-42212.479591,1938.495074,-42334.823092
simulated_annealing,12,-31793.374596,-27003.480178,-29585.060709,1146.551667,-29638.048977
simulated_annealing,13,-41821.854383,-35572.582497,-38772.908548,1610.872293,-38744.176215
simulated_annealing,14,-46238.909908,-39287.517826,-43590.448842,2051.812402,-43858.043208
simulated_annealing,15,-60162.004082,-48466.644851,-53616.008127,3011.870693,-53446.131792
