algorithme,instance,min,max,moyenne,ecart_type,mediane
hill_climbing_cont,0,-5729.358452,-4140.339919,-5510.031765,326.600686,-5588.761655
hill_climbing_cont,1,-8956.88586,-5158.709867,-8288.319637,1111.760285,-8695.180574
hill_climbing_cont,2,-8832.743741,-5866.695688,-8465.055769,660.785571,-8832.531338
hill_climbing_cont,3,-16985.067628,-9288.956511,-15214.559791,1881.750227,-14813.157141
hill_climbing_cont,4,-14564.431586,-7309.052437,-12301.997781,2095.002521,-11936.945397
hill_climbing_cont,5,-21691.461355,-12781.662236,-19253.318539,2631.007767,-19492.274399
hill_climbing_cont,6,-21726.463942,-13622.35026,-19205.594029,2605.511875,-20046.307937
hill_climbing_cont,7,-33417.92945,-19409.939159,-27778.936914,4305.536234,-27939.256306
hill_climbing_cont,8,-9107.078787,-5631.600303,-8063.977811,1119.254923,-8280.004356
hill_climbing_cont,9,-17307.032647,-9244.966937,-16233.513369,1924.908552,-17306.837234
hill_climbing_cont,10,-16935.704741,-13634.122191,-15984.698359,1384.576574,-16935.516568
hill_climbing_cont,11,-22263.632625,-12974.835564,-18883.392379,2602.156153,-19365.266233
hill_climbing_cont,12,-21906.1567,-10964.172199,-18391.40749,3005.492391,-18943.948595
hill_climbing_cont,13,-33527.146312,-10751.788922,-29661.398036,4707.217981,-30445.116397
hill_climbing_cont,14,-32681.684108,-19198.902469,-28214.635495,3613.043056,-29039.765818
hill_climbing_cont,15,-39493.054811,-18849.691647,-32332.255733,5152.193421,-32164.552233
random_search_cont,0,-5090.121768,-4217.456741,-4689.47251,199.672767,-4632.847141
random_search_cont,1,-7937.189206,-6262.40916,-7091.197858,404.432109,-7013.956665
random_search_cont,2,-7994.011577,-6314.326148,-6925.777448,390.647937,-6893.567228
random_search_cont,3,-14502.056768,-11423.013441,-12811.859426,748.597084,-12609.49233
random_search_cont,4,-10662.124086,-8283.149367,-9212.827532,610.345155,-9164.479472
random_search_cont,5,-16208.83272,-11885.132751,-13520.532192,1182.895815,-13280.171782
random_search_cont,6,-15162.954856,-12042.874918,-13525.632519,819.827553,-13538.371765
random_search_cont,7,-22414.981457,-16191.634439,-18702.799392,1453.443415,-18772.77282
random_search_cont,8,-7927.069179,-6351.778501,-6962.95786,382.195466,-6951.121303
random_search_cont,9,-14425.333528,-12610.949135,-13381.431215,498.743241,-13447.815414
random_search_cont,10,-14564.952706,-11299.131166,-12749.349087,803.415884,-12633.375618
random_search_cont,11,-18671.23395,-13873.137213,-15870.937382,1161.17035,-15695.056294
random_search_cont,12,-15811.702989,-11884.50877,-13643.254922,983.147848,-13561.604963
random_search_cont,13,-22800.226934,-15677.543316,-18639.993113,1747.959444,-18578.760291
random_search_cont,14,-21629.512734,-15631.834817,-18027.415943,1415.359712,-18091.064376
random_search_cont,15,-24435.519061,-15931.769828,-19761.678203,2445.421444,-19235.692337
simulated_annealing_cont,0,-5729.275853,-5447.873406,-5626.059379,137.762509,-5729.039338
simulated_annealing_cont,1,-8956.705731,-6215.854389,-8684.808531,622.623616,-8955.744561
simulated_annealing_cont,2,-8832.505681,-5865.901289,-8333.550034,779.011879,-8831.435939
simulated_annealing_cont,3,-16984.836151,-13938.000997,-16576.998322,1052.64194,-16983.525362
simulated_annealing_cont,4,-14563.458399,-11462.814587,-13946.843986,983.51037,-14286.51775
simulated_annealing_cont,5,-21690.650459,-19191.639936,-21436.420126,667.81691,-21688.10289
simulated_annealing_cont,6,-21724.096122,-19732.843708,-21423.813642,683.677686,-21720.37994
simulated_annealing_cont,7,-33412.589806,-28673.224387,-32511.183809,1449.942126,-33390.395731
simulated_annealing_cont,8,-9106.810796,-8279.230475,-8720.533587,419.521202,-9105.390352
simulated_annealing_cont,9,-17306.710029,-14155.645145,-16885.127254,1088.840663,-17305.816398
simulated_annealing_cont,10,-16935.351673,-13632.74704,-16604.295548,1007.320109,-16934.448739
simulated_annealing_cont,11,-22263.345121,-12972.956395,-20017.811031,2129.07796,-19494.627239
simulated_annealing_cont,12,-21904.7667,-18673.625983,-21456.845219,1007.72804,-21901.560158
simulated_annealing_cont,13,-33524.52534,-29478.527892,-32526.51009,1435.38881,-33511.797158
simulated_annealing_cont,14,-32677.973243,-27088.878698,-31509.680265,1784.098598,-32669.779113
simulated_annealing_cont,15,-39709.970072,-33391.773324,-38393.690663,2108.629935,-39322.080837
