algorithme,instance,min,max,moyenne,ecart_type,mediane
hill_climbing_mixed,0,-19891.443234,-12348.778641,-17230.540393,1681.609375,-16916.512814
hill_climbing_mixed,1,-26030.583935,-19140.739781,-22628.421615,1679.565203,-22978.398346
hill_climbing_mixed,2,-25667.435861,-20109.090789,-23165.368032,1479.498888,-23411.923739
hill_climbing_mixed,3,-31230.10463,-17983.086519,-24353.714779,3061.692873,-24588.497843
hill_climbing_mixed,4,-25466.988545,-18952.362302,-22241.929825,1471.382899,-22465.641112
hill_climbing_mixed,5,-28624.538794,-17460.395107,-22832.171276,2658.54353,-22677.232098
hill_climbing_mixed,6,-31669.432901,-17736.596819,-23328.954723,3057.759162,-23208.238484
hill_climbing_mixed,7,-26730.273859,-12278.897843,-20125.290579,2961.657095,-20297.79957
hill_climbing_mixed,8,-21195.774894,-13454.62767,-17510.950508,2216.529445,-17728.615896
hill_climbing_mixed,9,-27874.27675,-8752.873569,-19108.561945,4769.749153,-19250.757695
hill_climbing_mixed,10,-26570.48946,-16905.302674,-20766.354603,2434.399445,-20630.767159
hill_climbing_mixed,11,-22199.835642,-4665.674328,-13372.338264,4810.590614,-13590.1395
hill_climbing_mixed,12,-28149.0239,-14403.996797,-19180.130271,3027.202267,-19246.699655
hill_climbing_mixed,13,-27112.0911,-5341.446786,-16672.094648,5213.566722,-15353.219096
hill_climbing_mixed,14,-26200.818624,-1401.638921,-11634.152396,5526.934449,-11846.897027
hill_climbing_mixed,15,-32035.421535,402.501862,-14204.414332,7780.914011,-14027.630938
random_search_mixed,0,-7995.799828,-5491.426575,-6447.289553,525.878672,-6410.899099
random_search_mixed,1,-11151.657777,-7159.508669,-8656.769965,956.727516,-8366.368247
random_search_mixed,2,-10813.012685,-7444.904604,-8863.907398,817.863258,-8728.157455
random_search_mixed,3,-14739.405786,-9840.231161,-11590.005236,1050.906304,-11572.278776
random_search_mixed,4,-10391.584431,-7530.277871,-8477.801109,657.231057,-8430.483812
random_search_mixed,5,-14196.637267,-9943.140427,-11169.066599,1015.137789,-10998.876629
random_search_mixed,6,-14158.764774,-9184.585805,-11269.040364,1226.22704,-11311.255664
random_search_mixed,7,-21180.736763,-13966.730629,-15973.285941,1641.252352,-15467.707193
random_search_mixed,8,-10802.978547,-7052.401896,-8638.836132,852.051186,-8667.71984
random_search_mixed,9,-13235.439883,-9832.270782,-10948.356084,795.372765,-10827.926022
random_search_mixed,10,-13652.713684,-10083.318572,-11615.392707,911.412927,-11549.34527
random_search_mixed,11,-18430.921753,-12988.256267,-15090.651805,1525.524204,-14760.678491
random_search_mixed,12,-12916.050459,-9429.974773,-10824.848602,964.967596,-10548.828824
random_search_mixed,13,-21562.802722,-12206.849098,-15504.068987,2407.533816,-14585.376865
random_search_mixed,14,-18246.241959,-12902.617297,-15244.143446,1579.066702,-15167.4447
random_search_mixed,15,-26798.942273,-16314.928379,-19483.276053,2449.581693,-19325.776087
sa_mixed,0,-21132.129868,-16175.86623,-18884.01724,1319.131461,-18802.930739
sa_mixed,1,-30424.894247,-20289.629238,-24931.214451,2052.585132,-24964.606304
sa_mixed,2,-30391.174919,-23177.505938,-27220.021582,1827.824091,-27440.89113
sa_mixed,3,-46472.995234,-29411.971134,-36250.231637,3303.569554,-36234.013615
sa_mixed,4,-29837.666123,-22800.924006,-26657.899091,1604.356376,-26446.288354
sa_mixed,5,-38247.340791,-29310.320544,-33509.82996,2112.027581,-32987.189889
sa_mixed,6,-39180.111921,-30127.845063,-35039.945062,2408.027009,-34880.919125
sa_mixed,7,-54480.2482,-37078.410807,-44797.920434,3484.976736,-44886.303018
sa_mixed,8,-39642.808633,-29006.847195,-35198.602715,2671.336517,-35271.114916
sa_mixed,9,-51566.70443,-37702.271589,-45178.447673,3905.746802,-45282.830134
sa_mixed,10,-53606.145717,-44596.029535,-49097.812125,2333.284212,-49135.071536
sa_mixed,11,-74469.046305,-47340.048412,-60345.18509,6323.182143,-60389.232345
sa_mixed,12,-55316.177803,-37902.344157,-44986.814654,3979.49679,-45310.737996
sa_mixed,13,-62958.22549,-47140.49764,-55081.156771,4028.40418,-54849.34109
sa_mixed,14,-66481.535602,-49835.673601,-57409.274601,4505.402175,-57109.941095
sa_mixed,15,-84897.868156,-55295.56827,-69773.663795,8406.228561,-69632.984517
